" The customer doesn't exist in the system anymore","O Cliente já não existe no sistema"
" and ","e"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Caminho absoluto ou relativo para o directório principal do Magento, ex. var/export)"
"(For US 2-letter state names)","(Para os EUA 2 letras para o nome do Estado)"
"(If left empty will be auto-generated)","(Se deixado em branco será auto-gerado)"
"(Leave empty for first spreadsheet)","(Deixe em branco para a primeira folha de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Os produtos serão adicionados/actualizados a esta loja se a coluna 'loja' estiver em branco ou não existir no ficheiro a importar.)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(Starting with)","(Iniciando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas os campos mapeados serão importados. Quando mapeado, use 'column1','column2',etc'"
"(You have to increase php memory_limit before changing this value)","(Necessita de aumentar o memory_limit do PHP antes de alterar este valor )"
"(\t for tab)","(\t para tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* -  Se a indexação estiver a decorrer, será terminada e um novo processo de indexação será iniciado"
"- Click on any of the time parts to increase it","- Clique sobre algumas das partes do tempo para aumentá-lo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha qualquer um dos botões do rato premido  para uma selecção mais rápida"
"- Use the %s buttons to select month","- Utilize os botões %s para seleccionar o mês"
"- Use the %s, %s buttons to select year","- Utilize o botões %s, %s para seleccionar o ano"
"- or Shift-click to decrease it","- ou Shift-clique para diminuí-lo"
"- or click and drag for faster selection.","- ou clique e arraste para uma selecção mais rápida"
"-- Please Select --","-- Por Favor Seleccione --"
"-- Please select --","-- Por Favor Seleccione --"
"-- Please select a category --","-- Por favor seleccione uma categoria--"
"--Please Select--","--Por favor Seleccione--"
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"24h","24h"
"2YTD","2 Anos até à data"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Página Não Encontrada.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Access denied</h1><p>Acesso Negado</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Uma nova palavra-passe foi enviada para o seu email. Por favor verifique o seu email e clique Voltar para Iniciar Sessão"
"API Stability","Estabilidade da API"
"API Version","Versão API"
"API:","API:"
"About the calendar","Acerca do Calendário"
"Access Denied.","Acesso negado."
"Access Deny","Acesso negado"
"Account Created in:","Conta criada em:"
"Account Created on (%s):","Conta criada em (%s)"
"Account Created on:","Conta criada a:"
"Account Information","Informação da conta"
"Account status","Estado da conta"
"Account successfully saved","Conta correctamente guardada"
"Action","Acção"
"Actions","Acções"
"Actions XML","Acções XML"
"Active","Activo"
"Add","Adicionar"
"Add Contents Path","Adicionar Caminho de Conteúdos"
"Add Exception","Adicionar Excepção"
"Add Field Mapping","Adicionar mapeamento de campo"
"Add Field with URL:","Adicionar campo com URL:"
"Add Maintainer","Adicionar Técnico de Manutenção"
"Add New Image","Adicionar Nova Imagem"
"Add New Profile","Adicionar Novo Perfil"
"Add New Role","Adicionar novo acesso"
"Add New Template","Adicionar novo Template"
"Add New Urlrewrite","Adicionar nova rescrita de URL"
"Add New User","Adicionar utilizadores"
"Add New osCommerce Profile","Adicionar novo perfil osCommerce"
"Add PHP Extension dependency","Adicionar dependência de extensão PHP"
"Add Package dependency","Adicionar dependência de Pacote"
"Add Subpackage dependency","Adicionar dependência de Subpacote"
"Add Urlrewrite","Adicionar rescrita URL"
"Add Urlrewrite for a Category","Adicionar rescrita URL para categoria"
"Add Urlrewrite for a Product","Adicionar rescrita de URL para produto"
"Add after","Adicionar após"
"Add new Role","Adicionar Novo Acesso"
"Add new store view map","Adicionar novo mapa de visão da loja"
"Add new website map","Adicionar novo Mapa de Site"
"Address Type:","Tipo de Endereço"
"Admin","Admin"
"Advanced Admin Section","Secção Avançada Administração"
"Advanced Profiles","Perfis Avançados"
"Advanced Section","Secção Avançada"
"Aggregate Order","Agrupar Ordem"
"All","Todos"
"All Allowed Countries","Todos os Países Permitidos"
"All Cache","Todo o cache"
"All Files","Todos os ficheiros"
"All Store Views","Todas as Lojas"
"All Tags","Todas as etiquetas"
"All Websites","Todos os Sites"
"All countries","Todos os países"
"All fields","Todos os campos"
"All possible rates were fetched, click on ""Save"" to apply","Todas as taxas possíveis foram obtidas, clique em ""Guardar"" para aplicar"
"All rates were fetched, click on ""Save"" to apply","Todas as taxas foram obtidas, clique em ""Guardar"" para aplicar"
"All valid rates successfully saved","Todas as taxas válidas foram guardadas com sucesso"
"Amounts","Quantidades"
"Any","Qualquer"
"Any Attribute Set","Qualquer Grupo de Atributos"
"Any Group","Qualquer Grupo"
"Any Status","Qualquer Estado"
"Any Store","Qualquer Loja"
"Any Type","Qualquer Tipo"
"Any Visibility","Qualquer visibilidade"
"Api Key","Chave Api"
"Api Key Confirmation","Confirmar Api Key"
"Archive file name:","Nome de ficheiro do arquivo:"
"Are you sure that you want to delete this template?","Tem a certeza que deseja remover o Template?"
"Are you sure that you want to strip tags?","Tem a certeza que deseja remover o HTML das Etiquetas?"
"Are you sure you want to do this?","Tem a certeza que é o que deseja fazer?"
"Are you sure you wish to INSTALL all selected packages?","Tem a certeza que deseja INSTALAR os pacotes seleccionados?"
"Are you sure you wish to UNINSTALL all selected packages?","Tem a certeza que deseja DESINSTALAR os pacotes seleccionados?"
"Are you sure you wish to UPGRADE all selected packages?","Tem a certeza que deseja ACTUALIZAR os pacotes seleccionados?"
"Area","Área"
"Assigned","Atribuído"
"Attribute Set Name:","Nome grupo de Atributos"
"Attribute set successfully saved.","Grupo de atributos correctamente guardado"
"Attribute set was successfully removed.","Grupo de atributos correctamente removido"
"Attributes","Atributos"
"Available Products","Produtos disponiveís"
"Available Version","Versão Disponível"
"Average Order Amount","Quantidade média por encomenda"
"Average Orders","Preço Médio por Encomenda"
"Back","Voltar"
"Back to Login","Voltar ao início de sessão"
"Back to local packages","Voltar aos pacotes locais"
"Backup","Cópia de segurança"
"Backup record was deleted","Registo de Cópia de Segurança removido"
"Backup successfully created","Cópia de Segurança criada correctamente"
"Backups","Cópias de segurança"
"Base currency","Moeda base"
"Bcc","Bcc"
"Bestsellers","Mais vendidos"
"Big Image","Imagem Grande"
"Billing Address","Endereço de Facturação"
"Billing address","Endereço de Facturação"
"Block Information","Informação do bloco"
"Both (without and with tax)","Ambos (com e sem imposto)"
"Browse Available Extensions","Navegar em todas as Extensões Disponíveis"
"Browse Available Remote Extensions","Navegar em todas as Extensões Remotas Disponíveis"
"Browse Files...","Escolher ficheiros"
"Bundle Items","Pacote de Itens"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacote com preços dinâmicos não pode conter opções personalizadas. As opções não serão salvas."
"CRITICAL","CRíTICO"
"CSV","CSV"
"CSV / Tab separated","Separação CSV / Tab"
"Cache Control","Controlo de cache"
"Cache Control (beta)","Controlo de Cache (Beta)"
"Cache Management","Gestão Cache"
"Can not add new comment.","Não pode adicionar um novo comentário."
"Can not add tracking number.","Não pode adicionar um número de monitorização."
"Can not delete tracking number.","Não pode remover o número de monitorização."
"Can not do credit memo for order","Não pode criar uma Nota de Crédito para a encomenda"
"Can not do invoice for order","Não pode criar uma factura para a encomenda"
"Can not do shipment for order.","Não foi possível realizar o envio para esta encomenda"
"Can not initialize shipment for adding tracking number.","Não foi possível inicializar o envio para adicionar número de monitorização."
"Can not initialize shipment for delete tracking number.","Não foi possível inicializar o envio para remover número de monitorização."
"Can not load track with retrieving identifier.","Não foi possível carregar o registo com o identificador."
"Can not retrieve tracking number detail.","Não foi possível obter os detalhes do número de monitorização"
"Can not save credit memo","Não pode guardar a nota de crédito"
"Can not save invoice","Não pode guardar a factura"
"Can not save shipment.","Não pode guardar o envio."
"Can not send shipment information.","Não foi possível enviar a informação de envio."
"Can not update item qty","Não pode actualizar a qt. do item"
"Can't delete design change","Não foi possível remover as alterações ao Desenho"
"Can't find email address.","Não foi possível encontrar o endereço de email"
"Cancel","Cancelar"
"Card Verification Number","Número de verificação do cartão de crédito"
"Catalog","Catálogo"
"Catalog Rewrites","Rescritas do catálogo"
"Catalog Rewrites was refreshed successfully","A actualização da rescrita do catálogo foi efectuada com sucesso"
"Catalog Rewrites were refreshed successfully","As actualizações das rescritas do catálogo foram efectuadas com sucesso"
"CatalogInventory Stock Status rebuild error. Please try again later","Erro ao reconstruir estado do inventário CatalogInventory. Tente novamente mais tarde"
"CatalogInventory Stock Status was rebuilt successfully","Estado do Inventário CatalogInventory reconstruído com sucesso"
"Category","Categoria"
"Category:","Categoria:"
"Changelog","Lista de Modificações"
"Channel","Canal"
"Channel:","Canal:"
"Checkbox","Caixa de selecção"
"Choose Store View","Escolha vista de Loja"
"Choose an attribute","Escolha um atributo"
"Clear","Limpar"
"Close","Fechar"
"Comment text field can not be empty.","O campo de texto de comentários não pode ficar em branco."
"Comments History","Histórico de Comentários"
"Complete","Finalizado"
"Configuration","Configuração"
"Configuration successfully saved","Configurações guardadas com sucesso"
"Confirmed email:","Email confirmado:"
"Conflicts","Conflitos"
"Connect with the Magento Community","Ligar-se à comunidade Magento"
"Contents","Conteúdo"
"Convert to Plain Text","Converter para texto"
"Cookie (Unsafe)","Cookie (inseguro)"
"Country","País"
"Country:","País:"
"Coupon Code","Código Cupão"
"Coupons","Cupões"
"Create","Criar"
"Create DB Backup","Criar cópia de segurança"
"Create Extension Package","Criar Extensão de Pacote"
"Create New Attribute","Criar novo atributo"
"Create New Staging Store View","Criar uma nova Vista de Loja experimental"
"Create Urlrewrite:","Criar rescrita de URL:"
"Create a backup","Criar uma cópia de segurança"
"Created <strong>%s</strong> items","Criados <strong>%s</strong> itens"
"Created At","Criado a"
"Credit Card Number","Número cartão crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo cartão de crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Memo #%s comment added","Nota de Crétio #%s comentário adicionado"
"Credit Memo #%s created","Nota de Crétio #%s criada"
"Credit Memo History","Histórico Nota de Crédito"
"Credit Memo Totals","Total da Nota de Crédito"
"Credit Memo cancel error.","Erro ao cancelar Nota de Crédito."
"Credit Memo total must be positive.","O total da Nota de Crédito tem que ser positivo"
"Credit Memo void error","Erro ao anular a Nota de Crédito"
"Credit Memo was successfully canceled.","A Nota de Crédito foi cancelada com sucesso"
"Credit Memo was successfully created","A Nota de Crédito foi criada com sucesso"
"Credit Memo was successfully voided","A Nota de Crédito foi anulada com sucesso"
"Currency","Moeda"
"Currency Information","Informação sobre Moeda"
"Currency Setup Section","Secção de Controlo Moeda"
"Current Configuration Scope:","Espaço Actual de Configuração:"
"Current Release Information","Informação da Corrente Versão"
"Custom","Personalizado"
"Customer","Cliente"
"Customer Group:","Grupo Cliente:"
"Customer Name","Nome do Cliente"
"Customer Since:","Cliente desde:"
"Customer was deleted","O cliente foi removido"
"Customer was successfully saved","Cliente correctamente guardado"
"Customer with the same email already exists.","Já existe um cliente com o mesmo email"
"Customers","Clientes"
"DHTML Date/Time Selector","Selecção da Data/hora DHTML"
"Dashboard","Painel de Controlo"
"Data Format","Formato da Data"
"Data transfer:","Transfer&ecirc;ncia de dados:"
"Date","Data"
"Date & Time","Data & Hora"
"Date Added","Data adicionado"
"Date Updated","Data de actualização"
"Date selection:","Selecção data:"
"Date selector","Seleccionador de Data"
"Date:","Data:"
"Day","Dia"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores por omissão (Admin)"
"Default Config","Configuração por omissão"
"Default Template from Locale","Template por defeitos das definições regionais"
"Default Values","Valores por Omissão"
"Default display currency ""%s"" is not available in allowed currencies","A moeda por omissão ""%s"" não está disponível na lista de moedas disponíveis"
"Default scope","Espaço por omissão"
"Delete","Remover"
"Delete %s","Remover %s"
"Delete %s '%s'","Remover %s '%s'"
"Delete Profile","Remover Perfil"
"Delete Role","Remover Acesso"
"Delete Store View","Remover Vista Loja"
"Delete Template","Remover Template"
"Delete User","Remover Utilizador"
"Delete Website","Remover Site"
"Dependencies","Dependências"
"Description","Descrição"
"Description:","Descrição:"
"Design","Desenho"
"Design Section","Secção de Desenho"
"Design change deleted","Alteração ao Desenho removida"
"Design change saved","Alterações ao Desenho guardadas"
"Developer Section","Secção de Programador"
"Direction:","Direcção:"
"Disable","Inactivo"
"Disabled","Inactivo"
"Discount Amount","Valor Desconto"
"Display %s first","Mostrar primeiro %s"
"Display default currency","Mostrar moeda por omissão"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a licença GNU LGPL. Ver %s para detalhes."
"Do you really want to KILL parallel process and start new indexing process?","Tem a certeza que deseja TERMINAR o processo em paralelo e iniciar um novo processo de indexação?"
"Done By:","Feito por:"
"Done by:","Feito por:"
"Download Remote File","Descarregar Ficheiro Remoto"
"Download and Install","Descarregar e Instalar"
"Downloading and installing $pkg, please wait...","A descarregar e instalar o pacote $pkg, por favor aguarde..."
"Drag to move","Arraste para mover"
"Drop-down","Menu de selecção"
"Edit","Editar"
"Edit Email Template","Editar Template de Email"
"Edit Poll","Editar Sondagem"
"Edit Role","Editar Acesso"
"Edit Store View","Editar Vista Loja"
"Edit System Template","Editar Template do Sistema"
"Edit Tag","Editar Etiqueta"
"Edit Template","Editar Template"
"Edit Urlrewrite","Editar rescrita de URL"
"Edit User","Editar utilizador"
"Edit User '%s'","Editar Utilizador '%s'"
"Edit Website","Editar site"
"Email","Email"
"Email Address:","Endereço de Email:"
"Email Preview","Pré-visualizar email"
"Email address is empty.","Endereço de Email vazio."
"Email to a Friend","Enviar por email a um amigo"
"Email:","Email:"
"Enable","Activo"
"Enabled","Activo"
"Enclose Values In:","valores delemitados em:"
"Entity Type","Tipo de Entidade"
"Entity type:","Tipo de Entidade:"
"Error uploading the file","Erro ao carregar o ficheiro"
"Error while cleared Image cache. Please try again later","Erro ao limpar cache de imagens. Por favor tente novamente mais tarde."
"Error while create backup. Please try again later","Erro ao criar cópia de segurança. Por favor tente norvamente mais tarde"
"Error while deleting this role. Please try again later.","Erro ao remover acesso. Por favor tente novamente mais tarde."
"Error while deleting this set.","Erro ao remover grupo."
"Error while finished process. Please refresh cache","Erro ao terminar o processo. Por favor limpe o seu cache."
"Error while refreshed Catalog Rewrites. Please try again later","Erro ao actualizar as rescritas do catálogo. Por favor tente novamente mais tarde"
"Error while refreshed Layered Navigation Indices. Please try again later","Erro ao actualizar os índices de Navegação por Atributos. Por favor tente novamente mais tarde"
"Error while saving account. Please check all required fields","Erro ao guarda a conta. Por favor verifique todos os campos obrigatórios."
"Error while saving account. Please try again later","Erro ao guardar a conta. Por favor tente novamente mais tarde"
"Error while saving this configuration: ","Erro ao guardar configuração:"
"Error while saving this role. Please try again later.","Erro ao guardar acesso. Por favor tente novamente mais tarde"
"Error while updating selected review(s). Please try again later.","Erro ao actualizar as análises seleccionadas. Por favor tente novamente mais tarde"
"Excl. Tax","Excl. Imposto"
"Exclude","Excluir"
"Exclude (comma separated)","Excluir (separado por vírgula)"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data Validade: %s/%s"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export Filters","Exportar Filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Extension","Extensão"
"Extension Name","Nome da Extensão"
"Extensions","Extensões"
"FTP Host[:Port]","Servidor FTP [:Port]"
"Failed to add a product to cart by id ""%s""","Falha ao adicionar um produto ao carrinho por id ""%s"""
"Failed to load %1$s.xml or %1$s.ser","Falha ao carregar %1$s.xml ou %1$s.ser"
"Field","Campo"
"Field Mapping","Mapeamento de campo"
"File","Ficheiro"
"File Information","Informação do ficheiro"
"File name:","Nome do Ficheiro:"
"File size should be more than 0 bytes","O Tamanho do ficheiro deve ser superior a o bytes"
"Final Price","Preço Final"
"Finished items creation.","Criação de Itens Finalizada"
"Finished profile execution.","Execução do perfil terminada"
"First Name","Primeiro Nome"
"First Name:","Primeiro nome:"
"Firstname","Primeiro Nome"
"Fixed","Fixo"
"Flat Catalog Category rebuild error","Erro ao reconstruir o Catálogo Fixo de Categorias"
"Flat Catalog Category was rebuilt successfully","Reconstrução do catálogo fixo de categorias finalizado com sucesso"
"Flat Catalog Product rebuild error. Please try again later","Erro ao reconstruir o Catálogo Fixo de Produtos. Por favor tente novamente mais tarde"
"Flat Catalog Product was rebuilt successfully","Reconstrução do catálogo fixo de Produtos finalizado com sucesso"
"For category","Para categoria"
"For latest version visit: %s","Para a última versão visite: %s"
"For product","Para produto"
"Forgot your password?","Esqueceu-se da sua palavra-passe?"
"Forgot your user name or password?","Esqueceu-se do seu nome de utilizador ou palavra-passe?"
"From","De"
"Gb","Gb"
"General Information","Informação geral"
"General Section","Secção Geral"
"Get Image Base64","Obter Image Base64"
"Get help for this page","Obter ajuda para esta página"
"Global Attribute","Atributo Global"
"Global Record Search","Pesquisa Global"
"Global Search","Pesquisa Global"
"Go Today","Ir para Hoje"
"Google Base","Google base"
"Google Base Items","Itens do Google Base"
"Grand Total","Total"
"Grid (default) / List","Grelha (por omissão) / Lista"
"Grid only","Apenas grelha"
"Group:","Grupo:"
"Guest","Convidado"
"HTTP (unsecure)","HTTP (inseguro)"
"HTTPS (SSL)","HTTPS (SSL)"
"Help Us Keep Magento Healthy - Report All Bugs","Ajude-nos a manter Magento estável. Reporte os erros que encontrar"
"Home","Página Inicial"
"ID","ID"
"ID Path","ID Caminho"
"IP Address","Endereço IP"
"Ignore","Ignorar"
"Image cache was cleared successfully","O Cache da imagem foi correctamente limpo"
"Images","Imagens"
"Images (.gif, .jpg, .png)","Imagens (.gif, .jpg, .png)"
"Images Cache","Cache de Imagens"
"Import","Importar"
"Import Service","Importar Serviço"
"Import/Export","Importar/Exportar"
"Import/Export Advanced","Importar/Exportar (Especialista)"
"Import/Export Profile","Importar/exportar Perfil"
"Imported <strong>%s</strong> records","<strong>%s</strong> registos importados"
"In","Em"
"In Database:","Na Base de Dados:"
"In File:","No Ficheiro:"
"Inactive","Inactivo"
"Incl. Tax","Incl. Imposto"
"Include","Incluir"
"Incoming Message","Mensagem a chegar"
"Individual Item","Item individual"
"Install","Instalar"
"Install Package File","Instalar Ficheiro do Pacote"
"Installed As","Instalado como"
"Installed Extension Info","Info da Extensão Instalada"
"Installed Version","Versão Instalada"
"Installing $pkg, please wait...","A Instalar $pkg, por favor aguarde...."
"Installing selected packages, please wait...","A instalar pacotes seleccionados, por favor aguarde..."
"Instant Payment Notification (IPN)","Notificação Instantânea de Pagamento (IPN)"
"Interactive","Interactivo"
"Interface Locale: %s","Língua da Interface: %s"
"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor actualize a página."
"Invalid Import Service Specified","Serviço de importação especificado inválido"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","Informação POST inválida. (por favor verifique as opções de  post_max_size e upload_max_filesize no seu ficheiro php.ini)"
"Invalid Secret Key. Please refresh the page.","Chave secreta inválida. Por favor actualize a página"
"Invalid URL","Url inválida"
"Invalid Username or Password.","Nome de Utilizador ou palavra-passe inválidos"
"Invalid directory: %s","Directório inválido: %s"
"Invalid file: %s","Ficheiro inválido: %s"
"Invalid input data for %s => %s rate","Valores inválidos para %s => %s"
"Invalid input:","Dados Inválidos:"
"Invalid parrent block for this block","Bloco parente inválido para este bloco"
"Invalid section value","Valor de secção inválido"
"Invalid store value","Valor Loja inválido"
"Invalid website value","Valor Site inválido"
"Inventory Stock Status","Estado do Inventário em Stock"
"Invoice #%s comment added","Comentário à facfura #%s adicionado"
"Invoice #%s created","Factura #%s criada"
"Invoice History","Histórico Facturação"
"Invoice Totals","Totais de Facturação"
"Invoice and shipment was successfully created.","Factura e envio criados com sucesso"
"Invoice cancel error.","Erro ao cancelar factura."
"Invoice capture error","Erro ao capturar factura"
"Invoice void error","Erro ao anular factura"
"Invoice was successfully canceled.","A facura foi cancelada com sucesso."
"Invoice was successfully captured","A factura foi capturada com sucesso"
"Invoice was successfully created.","A factura foi criada com sucesso."
"Invoice was successfully voided","A factura foi cancelada com sucesso"
"Issue Number","Número Edição"
"Issuer: %s","Autor: %s"
"Items","Itens"
"Items to merge","Itens a unir"
"Kb","Kb"
"Last 24 hours","Últimas 24 horas"
"Last 5 Orders","Últimas 5 encomendas"
"Last 5 Search Terms","Últimos 5 termos de pesquisa"
"Last 7 days","Últimos 7 dias"
"Last Logged In (%s):","Última sessão Em (%s):"
"Last Logged In:","Último início de sessão em:"
"Last Month","Último m&ecirc;s"
"Last Name","Apelido"
"Last Name:","Apelido"
"Lastname","Apelido"
"Latest Message:","Última Mensagem:"
"Layered Navigation Indices","Índices de Navegação por atributos"
"Layered Navigation Indices was refreshed successfully","Os Índices da Navegação por atributos foi actualiza com sucesso"
"Layered Navigation Indices were refreshed successfully","Os Índices da Navegação por atributos foi actualiza com sucesso"
"Layered Navigation indexing queue cancelled","Lista de espera para Navegação por Atributos cancelada"
"Layered Navigation indexing queued","Indexação da Navegação por Atributos em Lista de Espera"
"Layered Navigation process queued to be killed","Processo de Navegação por atributos em lista de esperar para ser terminado"
"Leave empty to use tax identifier","Deixe em branco para utilizar identificador de imposto"
"Level","Nível"
"License","Licença"
"License URI","URI Licença"
"License:","Licença:"
"Lifetime Sales","Total acumulado de Vendas"
"Links","Ligações"
"List (default) / Grid","Lista (por omissão) / Grelha"
"List only","Apenas listar"
"Load Template","Carregar Template"
"Load default template","Carregar template por omissão"
"Load local Package","Carregar pacote local"
"Loading...","A Carregar..."
"Local Server","Servidor Local"
"Local/Remote Server","Servidor Local/Remoto"
"Locale","Região"
"Log Out","Terminar sessão"
"Log in to Admin Panel","Iniciar sessão administrativa"
"Log into Magento Admin Page","Iniciar sessão para a administração do Magento"
"Logged in as %s","Iniciou sessão como %s"
"Login","Iniciar Sessão"
"MAJOR","IMPORTANTE"
"MINOR","MENOR"
"MS Excel XML","MS Excel XML"
"Magento Admin","Admin do Magento"
"Magento Commerce - Administrative Panel","Magento Commerce - Painel administrativo"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Gestor Magento Connect"
"Magento Logo","Logótipo do Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento &trade; é uma marca registada de Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007"
"Magento ver. %s","Magento %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento &trade; é uma marca registada de Irubin Consulting Inc. DBA Varien. &copy; <br/>Copyright 2007"
"Maintainers","Manutenção"
"Manage Currency Rates","Gerir Câmbios"
"Manage Customers","Gerir Clientes"
"Manage Installed Extensions","Gerir Extensões Instaladas"
"Manage Ratings","Gerir Classificações"
"Manage Stores","Gerir Lojas"
"Manage osCommerce Orders","Gerir Encomendas osCommerce"
"Manage osCommerce Profiles","Gerir Perfis osCommerce"
"Mapping Configuration","Configuração Mapeamento"
"Matched expression","Expressão coincide"
"Max","Máx."
"Maximum","Máximo"
"Mb","Mb"
"Media (.avi, .flv, .swf)","Multimédia (.avi, .flv, .swf)"
"Merge Now","Unir Agora"
"Messages Inbox","Caixa de Entrada"
"Min","Mín"
"Minimum","Mínimo"
"Module version conflict!","Conflito de Versões no Módulo!"
"Month","M&ecirc;s"
