"%s was successfully added to your shopping cart.","%s Foi correctamente adicionado ao seu carrinho de compras"
"&laquo; Back to Billing Information","&laquo; Voltar à Informação de Facturação"
"&laquo; Back to Select Addresses","&laquo; Voltar para seleccionar Endereços"
"&laquo; Back to Shopping Cart","&laquo; Voltar ao Carrinho de Compras"
"* Required Fields","* Campos obrigatórios"
"Add New Address","Adicionar Novo Endereço"
"Add New Condition","Adicionar Nova condição"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à Lista de Presentes"
"Address","Endereço"
"Address %s of %s","Endereços %s de %s"
"After adding a product redirect to shopping cart","Depois de adicionar um produto redireccionar para o caminho de compras"
"Allow Guest Checkout","Permitir encomendas por parte de utilizadores convidados"
"Already registered?","Já está registado?"
"An error occurred in the process of payment","Ocorreu um erro no processo de pagamento"
"Apply Coupon","Aplicar Cupão"
"Are you sure you would like to remove this item from the shopping cart?","Tem a certeza que deseja remover este item do seu carrinho de compras?"
"Back","Voltar"
"Back to Shipping Information","Voltar à Informação de Envio"
"Based on your selection, you may be interested in the following items:","Baseado na sua selecção, também poderá estar interessado num destes produtos"
"Billing Address","Endereço de Facturação"
"Billing Information","Informação de Facturação"
"Billing Information - %s","Informação de Facturação - %s"
"Can not add item to shopping cart","Não foi possível adicionar ao carrinho de compras"
"Can not apply coupon code.","Não é possível aplicar o cupão"
"Can't open overview page","Não é possível abrir a página de informações"
"Cancel Coupon","Cancelar cupão"
"Cannot remove item","Não é possível remover o Item"
"Cannot update shopping cart","Não foi possível actualizar o seu carrinho"
"Card Verification Number Visual Reference","Refer&ecirc;ncia Visual do Número de Verificação do Cartão"
"Cart Subtotal:","Sub-total Carrinho"
"Change","Alterar"
"Change Billing Address","Alterar Endereço de facturação"
"Checkbox text","Texto caixa de selecção"
"Checkout","Finalizar Encomenda"
"Checkout Conditions","Condições de envio"
"Checkout Options","Opções Finalização Encomenda"
"Checkout Section","Secção de Finalização de Encomenda"
"Checkout Terms and Conditions","Condições e Termos de Envio"
"Checkout as Guest","Finalizar encomenda como convidado"
"Checkout as a Guest or Register","Finalizar encomenda como convidado ou registar-se"
"Checkout method","Método de Envio"
"Checkout with Multiple Addresses","Finalizar encomenda com múltiplos endereços"
"City","Cidade"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target='_blank'"">aqui para imprimir</a> uma cópia da confirmação da sua encomenda."
"Close","Fechar"
"Company","Empresa"
"Condition Name","Nome da Condição"
"Condition was successfully deleted","Condição removida com sucesso"
"Condition was successfully saved","Condição correctamente guardada"
"Configurable product image","Imagem de produto configurável"
"Confirm Password","Confirme a Palavra-passe"
"Content","Conteúdo"
"Content Height","Altura do conteúdo"
"Content Height (css)","Altura do conteúdo (CSS)"
"Continue","Continuar"
"Continue Shopping","Continuar compras"
"Continue to Billing Information","Continuar para informação de facturação"
"Continue to Review Your Order","Continuar para rever a sua encomenda"
"Continue to Shipping Information","Continuar para informações de envio"
"Country","País"
"Coupon code ""%s"" is not valid.","Código do Cupão ""%s"" inválido"
"Coupon code ""%s"" was applied successfully.","O Cupão com o código ""%s"" foi aplicado com sucesso"
"Coupon code was canceled successfully.","O cupão foi correctamente cancelado."
"Create Billing Address","Criar Endereço de Facturação"
"Create Shipping Address","Criar Endereço de Envio"
"Customer Address is not valid.","Endereço do Cliente inválido"
"Data saving problem","Problema ao guardar dados"
"Default Billing","Endereço de Facturação por omissão"
"Default Shipping","Endereço de Envio por omissão"
"Delete Condition","Remover Condição"
"Details","Detalhes"
"Disable Onepage Checkout","Desabilitar finalização de encomenda em apenas uma página"
"Disabled","Inactivo"
"Discount Codes","Códigos de desconto"
"Display Cart Summary","Mostrar Sumário Carrinho"
"Display Shopping Cart Sidebar","Mostrar Carrinho de Compras na barra lateral"
"Display item quantities","Mostrar Quantidades de Itens"
"Display number of items in cart","Mostrar número de itens no carrinho"
"Easy access to your order history and status","Acesso rápido à sua encomenda e histórico"
"Edit","Editar"
"Edit Address","Editar Endereço"
"Edit Billing Address","Editar Endereço de Facturação"
"Edit Items","Editar itens"
"Edit Shipping Address","Editar Endereço de Envio"
"Edit Terms and Conditions","Editar os Termos e Condições"
"Edit Your Cart","Editar o seu carrinho"
"Email Address","Endereço de Email"
"Enable Terms and Conditions","Activar Termos e Condições"
"Enabled","Activo"
"Enter a New Address","Insira um novo endereço"
"Enter your coupon code if you have one.","Insira o código do seu cupão se tem algum."
"Enter your destination to get a shipping estimate.","Insira o destino para receber uma estimativa de envio"
"Error while deleting this condition. Please try again later.","Erro ao remover condição. Por favor tente novamente mais tarde."
"Error while saving this condition. Please try again later.","Erro ao guardar condição. Por favor tente novamente mais tarde."
"Estimate Shipping and Tax","Valor estimado de imposto e envio"
"Excl. Tax","Excl. Imposto"
"Fast and easy check out","Finalizar a encomenda com maior rapidez e facilidade"
"Fax","Fax"
"Forgot an Item?","Esqueceu-se de um item?"
"Forgot your password?","Esqueceu-se da sua palavra-passe?"
"Get a Quote","Obter câmbio"
"Grand Total:","Total:"
"Grouped product image","Imagem de Produto em Grupo"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Imposto"
"Invalid data","Dados inválidos"
"Invalid email address ""%s""","Endereço de Email inválido ""%s"""
"Invalid shipping method.","Método de Envio inválido"
"Items","Itens"
"Load customer quote error","Carregar erro do cliente"
"Loading next step...","A carregar próximo passo..."
"Login","Iniciar Sessão"
"Manage Checkout Terms and Conditions","Gerir Termos e Condições de Finalização de Encomenda"
"Maximum display Recently added item(s)","Número máximo de itens a mostrar nos itens adicionados recentemente"
"Maximum qty allowed for Shipping to multiple addresses is %s","A quantidade máxima permitida para Envios para múltiplos endereços é:"
"Move to Wishlist","Mover para Lista de Presentes"
"My Account","A Minha Conta"
"My Cart","O meu carrinho"
"My Cart (%s item)","O meu Carrinho (%s item)"
"My Cart (%s items)","O meu Carrinho (%s itens)"
"My Cart Link","Ligação para o meu carrinho"
"New Address","Novo endereço"
"New Condition","Nova Condição"
"Order #","Encomenda #"
"Order Review","Rever Encomenda"
"Order Success","Compra efectuada com sucesso"
"Other items in your order","Outros itens na sua encomenda"
"Password","Palavra-passe"
"Payment Failed Email Reciever","Destinatário de email na falha de pagamento"
"Payment Failed Email Sender","Remetente de email na falha de pagamento"
"Payment Failed Emails","Emails na falha de pagamento"
"Payment Failed Template","Templates na falha de pagamento"
"Payment Information","Informação sobre pagamento"
"Payment Method","Método de Pagamento"
"Payment method is not defined","O método de pagamento não está definido"
"Place Order","Encomendar"
"Please <a href=""%s"">continue shopping</a>.","Por favor <a href=""%s"">continue as suas compras</a>."
"Please agree to all Terms and Conditions before placing the order.","Por favor concorde com todos os termos antes de finalizar a sua encomenda"
"Please agree to all Terms and Conditions before placing the orders.","Por favor concorde com todos os termos antes de finalizar a sua encomenda"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor insira uma código postal válido. Ex: 4750 ou 4750-144"
"Please log in below:","Por favor inicie sessão abaixo"
"Please select region, state or province","Por favor seleccione uma região, estado ou província"
"Please select shipping address for applicable items","Por favor seleccione os endereços de envio para os itens aplicáveis"
"Please select shipping methods for all addresses","Por favor seleccione o método de envio para todos os endereços"
"Price","Preço"
"Proceed to Checkout","Finalizar Encomenda"
"Product","Produto"
"Product Name","Nome do Produto"
"Product does not exist","O produto não existe"
"Qty","Qt"
"Quote Lifetime (days)","Validade carrinho (dias)"
"Recently added item(s)","Item(ns) recentemente adicionados"
"Register","Registar"
"Register and save time!","Registe-se e torne tudo mais rápido"
"Register to Create an Account","Registe-se para criar uma conta"
"Register with us for future convenience:","Registe-se para futura conveniência"
"Remove","Remover"
"Remove Item","Remover item"
"Remove Product","Remover produto"
"Remove item","Remover Item"
"Review Order","Rever Encomenda"
"Review Order - %s","Rever Encomenda - %s"
"Sales","Vendas"
"Save Condition","Guardar Condição"
"Save in address book","Guardar no Livro de Endereços"
"Select Address","Seleccione o Endereço"
"Select Addresses","Seleccione Endereços"
"Select Shipping Method","Seleccione o método de envio"
"Select State/Province...","Seleccionar Estado/Região"
"Select a billing address from your address book or enter a new address.","Seleccione o endereço de facturação do seu livro de endereços ou insira um novo"
"Select a shipping address from your address book or enter a new address.","Seleccione o endereço de envio do seu livro de endereços ou insira um novo"
"Send Payment Failed Email Copy Method","Enviar cópia de email na falha do método de pagamento para"
"Send Payment Failed Email Copy To","Enviar cópia de email na falha de pagamento para"
"Send to","Enviar para"
"Ship to Multiple Addresses","Enviar para múltiplos Endereços"
"Ship to different address","Enviar para endereços distintos"
"Ship to this address","Enviar para este endereço"
"Shipping Address","Endereço de Envio"
"Shipping Information","Informação de Envio"
"Shipping Method","Método de Envio"
"Shipping Methods","Métodos de Envio"
"Shipping method has not been selected yet","Não foi seleccionado nenhum método de envio"
"Shipping selection is not applicable","A selecção de envio não é aplicável"
"Shipping to","Enviar para"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Sidebar","Carrinho de Compras Lateral"
"Shopping Cart is Empty","Carrinho de Compras Vazio"
"Show Content as","Mostrar conteúdo como"
"Some of the products you requested are not available in the desired quantity","Alguns dos produtos que pediu não estão disponíveis na quantidade indicada"
"Some of the products you requested are unavailable","Alguns dos produtos pedidos não estão disponíveis"
"Sorry, Onepage Checkout is disabled.","Pedimos desculpas, mas de momento não é possível finalizar a sua encomenda em apenas uma página."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Pedimos desculpas, mas convidados não podem efectuar encomendas. Tente novamente mais tarde ou entre em contacto connosco."
"Sorry, no quotes are available for this order at this time.","Pedimos desculpa, mas de momento não existem câmbios disponíveis para esta encomenda."
"State/Province","Estado/Província"
"Status","Estado"
"Store View","Vista Loja"
"Street Address","Rua"
"Street Address ","Rua"
"Submitting order information...","A enviar informação de encomenda..."
"Subtotal","Sub-total"
"Telephone","Telefone"
"Terms and Conditions","Termos e Condições"
"Terms and Conditions Information","Informação sobre Termos e Condições"
"Terms and conditions","Termos e Condições"
"Text","Texto"
"Thank you for your purchase!","Obrigado pela sua compra!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Existem <a href=""%s""><strong>%s itens</strong></a> no seu carrinhot."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Existe is <a href=""%s""><strong>1 item</strong></a> no seu carrinho."
"There is already a customer registered using this email address","Já existe um cliente registado com o mesmo endereço de email"
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar a sua encomenda. Por favor entre em contacto connosco ou tente novamente"
"This condition no longer exists","Esta condição já não existe"
"Total","Total"
"Total for this address","Total para este endereço"
"Unit Price","Preço Unitário"
"Update Qty &amp; Addresses","Actualizar Quantidade &amp; Endereços"
"Update Shopping Cart","Actualizar Carrinho de Compras"
"Update Total","Actualizar Total"
"Use Billing Address","Usar Endereço de Facturação"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos neste momento a processar a sua encomenda. e irá receber brevemente um email com os detalhes da mesma. Quando a sua encomenda for enviada irá receber um outro email com uma ligação para poder seguir o progresso da encomenda"
"You have no items in your shopping cart.","O seu carrinho de compras está vazio"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Irá receber uma confirmação de encomenda com detalhes da mesma assim como uma ligação para acompanhar o progresso."
"Your Checkout Progress","O seu progresso"
"Your order # is: %s","A sua encomenda # é: %s"
"Your order # is: <a href=""%s"">%s</a>","A sua encomenda # é: <a href=""%s"">%s</a>"
"Your order has been received","A sua encomenda foi recebida"
"Your order number is ","O seu número de encomenda é"
"Zip/Postal Code","Código Postal"
"osCommerce Orders","Encomendas osCommerce"
"separate by "",""","separado por "","""
"My Cart","O Meu Carrinho"
"You have no items in your shopping cart.","Não existem produtos no seu carrinho."